epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8466,0.83497,1.74042,1.21902,0.56661,0.31008,0.34849,0.17297,1.37591,2.80882,2.04826,0.000652482,0.000652482,0.000652482
2,32.9853,0.8946,1.42463,1.2397,0.39258,0.31783,0.24115,0.0941,1.80723,2.79751,2.84522,0.00125385,0.00125385,0.00125385
3,47.3765,0.9744,1.38829,1.27631,0.53305,0.43411,0.39571,0.18952,1.73891,2.52654,2.38578,0.00178922,0.00178922,0.00178922
4,61.9371,0.98762,1.33075,1.30088,0.41932,0.42636,0.30817,0.13119,1.89784,2.35303,2.50622,0.001703,0.001703,0.001703
5,76.6282,0.9432,1.21828,1.25443,0.49156,0.44186,0.46248,0.25163,1.44451,1.94455,1.97069,0.001604,0.001604,0.001604
6,91.1851,0.88311,1.11878,1.24303,0.67223,0.60465,0.63078,0.4254,1.19295,1.4521,1.74676,0.001505,0.001505,0.001505
7,106,0.8483,1.02891,1.2043,0.59056,0.62791,0.55062,0.32,1.3413,1.57494,1.84156,0.001406,0.001406,0.001406
8,120.63,0.811,0.97869,1.18007,0.5336,0.5969,0.55681,0.37122,1.25483,1.51484,1.83015,0.001307,0.001307,0.001307
9,135.047,0.7841,0.93979,1.15596,0.54319,0.6124,0.54854,0.39998,1.03472,1.45566,1.55081,0.001208,0.001208,0.001208
10,149.617,0.76304,0.89104,1.15342,0.69649,0.62263,0.63725,0.44969,1.09773,1.21918,1.62191,0.001109,0.001109,0.001109
11,165.227,0.81758,1.01203,1.33459,0.75319,0.59145,0.67446,0.43427,1.12701,1.37787,1.6416,0.00101,0.00101,0.00101
12,178.652,0.77809,0.91964,1.30375,0.68419,0.5814,0.57569,0.40727,1.01621,1.28297,1.51271,0.000911,0.000911,0.000911
13,191.415,0.71607,0.7987,1.26735,0.76517,0.68217,0.71672,0.55281,0.89992,0.94738,1.42545,0.000812,0.000812,0.000812
14,204.294,0.65414,0.72066,1.19958,0.7546,0.66667,0.70872,0.55893,0.80761,0.96708,1.33897,0.000713,0.000713,0.000713
15,217.012,0.60689,0.63265,1.1617,0.74757,0.75969,0.73567,0.5702,0.85358,0.90343,1.42983,0.000614,0.000614,0.000614
16,230.465,0.58778,0.61196,1.14002,0.82262,0.719,0.74822,0.59892,0.78311,0.81802,1.31362,0.000515,0.000515,0.000515
17,243.216,0.52831,0.56392,1.11467,0.8651,0.696,0.74511,0.60431,0.78139,0.86795,1.29278,0.000416,0.000416,0.000416
18,256.463,0.50405,0.5358,1.0773,0.76809,0.72868,0.70514,0.57962,0.70573,0.83247,1.23706,0.000317,0.000317,0.000317
19,269.264,0.46836,0.49208,1.04651,0.77408,0.74419,0.76037,0.62414,0.7116,0.75511,1.25001,0.000218,0.000218,0.000218
20,282.609,0.43799,0.46197,1.02577,0.7733,0.76744,0.76498,0.62605,0.68536,0.72863,1.24041,0.000119,0.000119,0.000119
